geo_code,geo_level,area,sex,literacy,total
126,district,Urban,Male,Literate,116339
127,district,Rural,Male,Literate,283078
127,district,Urban,Male,Literate,482318
128,district,Rural,Male,Literate,332591
128,district,Urban,Male,Literate,100016
129,district,Rural,Male,Literate,375242
129,district,Urban,Male,Literate,91573
130,district,Rural,Male,Literate,712379
130,district,Urban,Male,Literate,261065
131,district,Rural,Male,Literate,220661
131,district,Urban,Male,Literate,29461
9,state,Rural,Male,Literate,51793688
9,state,Urban,Male,Literate,16441276
132,district,Rural,Male,Literate,833060
132,district,Urban,Male,Literate,387054
133,district,Rural,Male,Literate,1032545
133,district,Urban,Male,Literate,415983
134,district,Rural,Male,Literate,942936
134,district,Urban,Male,Literate,298535
135,district,Rural,Male,Literate,879994
135,district,Urban,Male,Literate,477441
136,district,Rural,Male,Literate,470606
136,district,Urban,Male,Literate,159802
137,district,Rural,Male,Literate,456283
137,district,Urban,Male,Literate,144258
138,district,Rural,Male,Literate,606760
138,district,Urban,Male,Literate,647760
139,district,Rural,Male,Literate,388481
139,district,Urban,Male,Literate,101377
140,district,Rural,Male,Literate,558355
140,district,Urban,Male,Literate,1253042
141,district,Rural,Male,Literate,258660
141,district,Urban,Male,Literate,407405
142,district,Rural,Male,Literate,954110
142,district,Urban,Male,Literate,299204
143,district,Rural,Male,Literate,876316
143,district,Urban,Male,Literate,407064
144,district,Rural,Male,Literate,461121
144,district,Urban,Male,Literate,118036
145,district,Rural,Male,Literate,658485
145,district,Urban,Male,Literate,284861
146,district,Rural,Male,Literate,882241
146,district,Urban,Male,Literate,732353
147,district,Rural,Male,Literate,623082
147,district,Urban,Male,Literate,289232
148,district,Rural,Male,Literate,602521
148,district,Urban,Male,Literate,109589
149,district,Rural,Male,Literate,799893
149,district,Urban,Male,Literate,186608
150,district,Rural,Male,Literate,846768
150,district,Urban,Male,Literate,495929
151,district,Rural,Male,Literate,538786
151,district,Urban,Male,Literate,115504
152,district,Rural,Male,Literate,725363
152,district,Urban,Male,Literate,189779
153,district,Rural,Male,Literate,1076152
153,district,Urban,Male,Literate,161005
154,district,Rural,Male,Literate,1214326
154,district,Urban,Male,Literate,183376
155,district,Rural,Male,Literate,1182280
155,district,Urban,Male,Literate,192307
156,district,Rural,Male,Literate,858153
156,district,Urban,Male,Literate,194910
157,district,Rural,Male,Literate,533656
157,district,Urban,Male,Literate,1208784
158,district,Rural,Male,Literate,1046389
158,district,Urban,Male,Literate,119576
159,district,Rural,Male,Literate,504652
159,district,Urban,Male,Literate,150175
