geo_code,geo_level,area,sex,total
208,district,Rural,Male,1099495
208,district,Urban,Male,55788
209,district,Rural,Male,1374254
209,district,Urban,Male,89079
210,district,Rural,Male,783318
210,district,Urban,Male,83652
211,district,Rural,Male,1519522
211,district,Urban,Male,179848
212,district,Rural,Male,1455744
212,district,Urban,Male,144686
213,district,Rural,Male,1000760
213,district,Urban,Male,46799
214,district,Rural,Male,913883
214,district,Urban,Male,83291
215,district,Rural,Male,1858545
215,district,Urban,Male,201404
216,district,Rural,Male,2276812
216,district,Urban,Male,250685
217,district,Rural,Male,1184967
217,district,Urban,Male,82699
218,district,Rural,Male,1579685
218,district,Urban,Male,95405
219,district,Rural,Male,1838119
219,district,Urban,Male,184702
220,district,Rural,Male,1721221
220,district,Urban,Male,123314
221,district,Rural,Male,2152273
221,district,Urban,Male,77730
222,district,Rural,Male,1266308
222,district,Urban,Male,301352
223,district,Rural,Male,837281
223,district,Urban,Male,46505
224,district,Rural,Male,1295386
224,district,Urban,Male,320277
225,district,Rural,Male,1029097
225,district,Urban,Male,38043
226,district,Rural,Male,527299
226,district,Urban,Male,201742
227,district,Rural,Male,450863
227,district,Urban,Male,75482
228,district,Rural,Male,272360
228,district,Urban,Male,57383
229,district,Rural,Male,1257728
229,district,Urban,Male,239332
230,district,Rural,Male,1746025
230,district,Urban,Male,1332487
231,district,Rural,Male,1224274
231,district,Urban,Male,206106
232,district,Rural,Male,801086
232,district,Urban,Male,86891
233,district,Rural,Male,812298
233,district,Urban,Male,34708
234,district,Rural,Male,1318276
234,district,Urban,Male,225270
235,district,Rural,Male,1194619
235,district,Urban,Male,124065
236,district,Rural,Male,1960592
236,district,Urban,Male,305974
237,district,Rural,Male,1031656
237,district,Urban,Male,113012
238,district,Rural,Male,839776
238,district,Urban,Male,76288
239,district,Rural,Male,514154
239,district,Urban,Male,71428
240,district,Rural,Male,336420
240,district,Urban,Male,27077
11,state,Rural,Male,242797
11,state,Urban,Male,80273
241,district,Rural,Male,22274
241,district,Urban,Male,2456
242,district,Rural,Male,67528
242,district,Urban,Male,2710
243,district,Rural,Male,65848
243,district,Urban,Male,10822
244,district,Rural,Male,87147
244,district,Urban,Male,64285
12,state,Rural,Male,546011
12,state,Urban,Male,167901
245,district,Rural,Male,20792
245,district,Urban,Male,8359
246,district,Rural,Male,37809
246,district,Urban,Male,8346
247,district,Rural,Male,29506
247,district,Urban,Male,9269
248,district,Rural,Male,39935
248,district,Urban,Male,49247
249,district,Rural,Male,34840
249,district,Urban,Male,6918
250,district,Rural,Male,44687
250,district,Urban,Male,13481
251,district,Rural,Male,36147
251,district,Urban,Male,13969
252,district,Rural,Male,15335
252,district,Urban,Male,3364
253,district,Rural,Male,66283
253,district,Urban,Male,10665
254,district,Rural,Male,46185
254,district,Urban,Male,11419
255,district,Rural,Male,35460
255,district,Urban,Male,6383
256,district,Rural,Male,44072
256,district,Urban,Male,1246
257,district,Rural,Male,3098
257,district,Urban,Male,1316
258,district,Rural,Male,21989
258,district,Urban,Male,6064
259,district,Rural,Male,58991
259,district,Urban,Male,17230
260,district,Rural,Male,10882
260,district,Urban,Male,625
13,state,Rural,Male,725472
13,state,Urban,Male,299177
261,district,Rural,Male,113469
261,district,Urban,Male,18284
262,district,Rural,Male,71373
262,district,Urban,Male,29719
263,district,Rural,Male,56786
263,district,Urban,Male,14431
264,district,Rural,Male,66435
264,district,Urban,Male,18070
265,district,Rural,Male,93435
265,district,Urban,Male,103959
266,district,Rural,Male,70529
266,district,Urban,Male,13214
267,district,Rural,Male,82462
267,district,Urban,Male,19471
268,district,Rural,Male,22511
268,district,Urban,Male,3991
269,district,Rural,Male,29243
269,district,Urban,Male,8587
270,district,Rural,Male,76369
270,district,Urban,Male,62597
271,district,Rural,Male,42860
271,district,Urban,Male,6854
14,state,Rural,Male,1026884
14,state,Urban,Male,411702
272,district,Rural,Male,243603
272,district,Urban,Male,3720
273,district,Rural,Male,62534
273,district,Urban,Male,9837
274,district,Rural,Male,129659
274,district,Urban,Male,9161
275,district,Rural,Male,75171
275,district,Urban,Male,43611
276,district,Rural,Male,135470
276,district,Urban,Male,75375
277,district,Rural,Male,96948
277,district,Urban,Male,158106
278,district,Rural,Male,136789
278,district,Urban,Male,89305
279,district,Rural,Male,80801
279,district,Urban,Male,13917
280,district,Rural,Male,65909
280,district,Urban,Male,8670
15,state,Rural,Male,269135
15,state,Urban,Male,286204
281,district,Rural,Male,37135
281,district,Urban,Male,7693
282,district,Rural,Male,19097
282,district,Urban,Male,23821
283,district,Rural,Male,43780
283,district,Urban,Male,155490
284,district,Rural,Male,39110
284,district,Urban,Male,24278
285,district,Rural,Male,16643
285,district,Urban,Male,16208
286,district,Rural,Male,47577
286,district,Urban,Male,35314
287,district,Rural,Male,49940
287,district,Urban,Male,10659
288,district,Rural,Male,15853
288,district,Urban,Male,12741
16,state,Rural,Male,1387173
16,state,Urban,Male,487203
289,district,Rural,Male,536720
289,district,Urban,Male,342708
290,district,Rural,Male,384787
290,district,Urban,Male,62757
291,district,Rural,Male,173773
291,district,Urban,Male,20771
292,district,Rural,Male,291893
292,district,Urban,Male,60967
17,state,Rural,Male,1194260
17,state,Urban,Male,297572
293,district,Rural,Male,286923
293,district,Urban,Male,37236
294,district,Rural,Male,138763
294,district,Urban,Male,22460
295,district,Rural,Male,66470
295,district,Urban,Male,6700
296,district,Rural,Male,172380
296,district,Urban,Male,21335
297,district,Rural,Male,118705
297,district,Urban,Male,13826
298,district,Rural,Male,228409
298,district,Urban,Male,182340
299,district,Rural,Male,182610
299,district,Urban,Male,13675
18,state,Rural,Male,13678989
18,state,Urban,Male,2260454
300,district,Rural,Male,424446
300,district,Urban,Male,28459
301,district,Rural,Male,893914
301,district,Urban,Male,103934
302,district,Rural,Male,443244
302,district,Urban,Male,70048
303,district,Rural,Male,791789
303,district,Urban,Male,75215
304,district,Rural,Male,449123
304,district,Urban,Male,37528
305,district,Rural,Male,1250985
305,district,Urban,Male,188127
306,district,Rural,Male,894985
306,district,Urban,Male,88919
307,district,Rural,Male,482582
307,district,Urban,Male,47092
308,district,Rural,Male,326278
308,district,Urban,Male,24971
309,district,Rural,Male,541395
309,district,Urban,Male,138836
310,district,Rural,Male,550299
310,district,Urban,Male,126135
311,district,Rural,Male,531286
311,district,Urban,Male,57930
312,district,Rural,Male,442968
312,district,Urban,Male,113837
313,district,Rural,Male,493125
313,district,Urban,Male,50036
314,district,Rural,Male,431924
314,district,Urban,Male,58243
315,district,Rural,Male,77817
315,district,Urban,Male,32985
316,district,Rural,Male,727083
316,district,Urban,Male,159201
317,district,Rural,Male,570510
317,district,Urban,Male,55354
318,district,Rural,Male,313747
318,district,Urban,Male,24143
319,district,Rural,Male,319786
319,district,Urban,Male,56032
320,district,Rural,Male,226895
320,district,Urban,Male,17965
321,district,Rural,Male,706140
321,district,Urban,Male,72321
322,district,Rural,Male,111062
322,district,Urban,Male,536523
323,district,Rural,Male,353677
323,district,Urban,Male,42329
324,district,Rural,Male,475027
324,district,Urban,Male,6303
325,district,Rural,Male,446460
325,district,Urban,Male,28813
326,district,Rural,Male,402442
326,district,Urban,Male,19175
19,state,Rural,Male,31844945
19,state,Urban,Male,14964082
327,district,Rural,Male,566965
327,district,Urban,Male,370294
328,district,Rural,Male,1437286
328,district,Urban,Male,545778
329,district,Rural,Male,1304916
329,district,Urban,Male,146626
330,district,Rural,Male,1362469
330,district,Urban,Male,188597
331,district,Rural,Male,737771
331,district,Urban,Male,119428
332,district,Rural,Male,1768336
332,district,Urban,Male,283205
333,district,Rural,Male,2917822
333,district,Urban,Male,709742
334,district,Rural,Male,1561976
334,district,Urban,Male,228944
335,district,Rural,Male,2373787
335,district,Urban,Male,1593102
336,district,Rural,Male,1921112
336,district,Urban,Male,732656
337,district,Rural,Male,2196554
337,district,Urban,Male,2922835
338,district,Rural,Male,1722945
338,district,Urban,Male,1091708
339,district,Rural,Male,1685777
339,district,Urban,Male,152318
340,district,Rural,Male,1304208
340,district,Urban,Male,192788
341,district,Rural,Male,909519
341,district,Urban,Male,1591300
342,district,Rural,Male,0
342,district,Urban,Male,2356766
343,district,Rural,Male,3109219
343,district,Urban,Male,1064559
344,district,Rural,Male,2641721
344,district,Urban,Male,366164
345,district,Rural,Male,2322562
345,district,Urban,Male,307272
20,state,Rural,Male,12776486
20,state,Urban,Male,4153829
346,district,Rural,Male,646947
346,district,Urban,Male,36628
347,district,Rural,Male,500211
347,district,Urban,Male,33724
348,district,Rural,Male,293595
348,district,Urban,Male,73627
349,district,Rural,Male,1149608
349,district,Urban,Male,108490
350,district,Rural,Male,638136
350,district,Urban,Male,136886
351,district,Rural,Male,643907
351,district,Urban,Male,34020
352,district,Rural,Male,505892
352,district,Urban,Male,83499
353,district,Rural,Male,418251
353,district,Urban,Male,34410
354,district,Rural,Male,581956
354,district,Urban,Male,824000
355,district,Rural,Male,554954
355,district,Urban,Male,517853
356,district,Rural,Male,203255
356,district,Urban,Male,29374
357,district,Rural,Male,514498
357,district,Urban,Male,662404
358,district,Rural,Male,887551
358,district,Urban,Male,118751
359,district,Rural,Male,342566
359,district,Urban,Male,27100
360,district,Rural,Male,746934
360,district,Urban,Male,143947
361,district,Rural,Male,272167
361,district,Urban,Male,222063
362,district,Rural,Male,620928
362,district,Urban,Male,47586
363,district,Rural,Male,365043
363,district,Urban,Male,39787
364,district,Rural,Male,840528
364,district,Urban,Male,654409
365,district,Rural,Male,243494
365,district,Urban,Male,22841
366,district,Rural,Male,481135
366,district,Urban,Male,33255
367,district,Rural,Male,278425
367,district,Urban,Male,21884
368,district,Rural,Male,637657
368,district,Urban,Male,111728
369,district,Rural,Male,408848
369,district,Urban,Male,135563
21,state,Rural,Male,17586203
21,state,Urban,Male,3625933
370,district,Rural,Male,672603
370,district,Urban,Male,76558
371,district,Rural,Male,176162
371,district,Urban,Male,120528
372,district,Rural,Male,368692
372,district,Urban,Male,158185
373,district,Rural,Male,146666
373,district,Urban,Male,11564
374,district,Rural,Male,676068
374,district,Urban,Male,385079
375,district,Rural,Male,774667
375,district,Urban,Male,131820
376,district,Rural,Male,1157576
376,district,Urban,Male,98637
377,district,Rural,Male,1056466
377,district,Urban,Male,129321
378,district,Rural,Male,665255
378,district,Urban,Male,95005
379,district,Rural,Male,675053
379,district,Urban,Male,42761
380,district,Rural,Male,516813
380,district,Urban,Male,61052
381,district,Rural,Male,970885
381,district,Urban,Male,381875
382,district,Rural,Male,856539
382,district,Urban,Male,69495
383,district,Rural,Male,551326
383,district,Urban,Male,61267
384,district,Rural,Male,546385
384,district,Urban,Male,109333
385,district,Rural,Male,461019
385,district,Urban,Male,41617
386,district,Rural,Male,595809
386,district,Urban,Male,571328
387,district,Rural,Male,728213
387,district,Urban,Male,137167
388,district,Rural,Male,1383636
388,district,Urban,Male,395582
389,district,Rural,Male,247655
389,district,Urban,Male,35227
390,district,Rural,Male,323523
390,district,Urban,Male,36422
391,district,Rural,Male,211133
391,district,Urban,Male,10492
392,district,Rural,Male,285634
392,district,Urban,Male,25678
393,district,Rural,Male,728770
393,district,Urban,Male,101327
394,district,Rural,Male,284792
394,district,Urban,Male,17170
395,district,Rural,Male,724646
395,district,Urban,Male,62455
396,district,Rural,Male,397774
396,district,Urban,Male,74186
397,district,Rural,Male,560771
397,district,Urban,Male,44041
398,district,Rural,Male,563771
398,district,Urban,Male,115038
399,district,Rural,Male,277901
399,district,Urban,Male,25723
22,state,Rural,Male,9797426
22,state,Urban,Male,3035469
400,district,Rural,Male,228338
400,district,Urban,Male,106399
401,district,Rural,Male,1067908
401,district,Urban,Male,125221
402,district,Rural,Male,386307
402,district,Urban,Male,38440
403,district,Rural,Male,623817
403,district,Urban,Male,126461
404,district,Rural,Male,381424
404,district,Urban,Male,231491
405,district,Rural,Male,701401
405,district,Urban,Male,114316
406,district,Rural,Male,1002520
406,district,Urban,Male,349054
407,district,Rural,Male,367941
407,district,Urban,Male,44117
408,district,Rural,Male,626212
408,district,Urban,Male,136643
409,district,Rural,Male,1026152
409,district,Urban,Male,655949
410,district,Rural,Male,1288567
410,district,Urban,Male,759619
411,district,Rural,Male,451691
411,district,Urban,Male,60276
412,district,Rural,Male,323420
412,district,Urban,Male,74477
413,district,Rural,Male,335149
413,district,Urban,Male,38189
414,district,Rural,Male,600652
414,district,Urban,Male,97835
415,district,Rural,Male,58653
415,district,Urban,Male,11451
416,district,Rural,Male,213930
416,district,Urban,Male,50212
417,district,Rural,Male,113344
417,district,Urban,Male,15319
23,state,Rural,Male,27149388
23,state,Urban,Male,10462918
418,district,Rural,Male,305360
418,district,Urban,Male,56424
419,district,Rural,Male,815218
419,district,Urban,Male,253199
420,district,Rural,Male,694756
420,district,Urban,Male,232087
421,district,Rural,Male,409349
421,district,Urban,Male,680978
422,district,Rural,Male,323966
422,district,Urban,Male,96191
423,district,Rural,Male,763554
423,district,Urban,Male,156241
424,district,Rural,Male,629477
424,district,Urban,Male,130878
425,district,Rural,Male,725273
425,district,Urban,Male,210848
426,district,Rural,Male,467473
426,district,Urban,Male,66007
427,district,Rural,Male,884133
427,district,Urban,Male,372124
428,district,Rural,Male,530471
428,district,Urban,Male,131402
429,district,Rural,Male,907904
429,district,Urban,Male,249591
430,district,Rural,Male,1017839
430,district,Urban,Male,207261
431,district,Rural,Male,273064
431,district,Urban,Male,57610
432,district,Rural,Male,295013
432,district,Urban,Male,127640
433,district,Rural,Male,540987
433,district,Urban,Male,141864
434,district,Rural,Male,516468
434,district,Urban,Male,221773
435,district,Rural,Male,616353
435,district,Urban,Male,399936
436,district,Rural,Male,629273
436,district,Urban,Male,151247
437,district,Rural,Male,571720
437,district,Urban,Male,233639
438,district,Rural,Male,895113
438,district,Urban,Male,217612
439,district,Rural,Male,436755
439,district,Urban,Male,1262872
440,district,Rural,Male,799396
440,district,Urban,Male,153725
441,district,Rural,Male,594907
441,district,Urban,Male,104433
442,district,Rural,Male,648407
442,district,Urban,Male,141805
443,district,Rural,Male,591962
443,district,Urban,Male,177606
444,district,Rural,Male,238025
444,district,Urban,Male,998105
445,district,Rural,Male,554636
445,district,Urban,Male,129107
446,district,Rural,Male,539960
446,district,Urban,Male,160398
447,district,Rural,Male,640358
447,district,Urban,Male,158878
448,district,Rural,Male,233312
448,district,Urban,Male,61526
449,district,Rural,Male,445062
449,district,Urban,Male,203663
450,district,Rural,Male,525188
450,district,Urban,Male,136825
451,district,Rural,Male,527031
451,district,Urban,Male,750247
452,district,Rural,Male,462699
452,district,Urban,Male,106111
453,district,Rural,Male,335393
453,district,Urban,Male,16520
454,district,Rural,Male,459151
454,district,Urban,Male,66121
455,district,Rural,Male,806199
455,district,Urban,Male,258269
456,district,Rural,Male,612314
456,district,Urban,Male,83565
457,district,Rural,Male,719794
457,district,Urban,Male,122384
458,district,Rural,Male,486127
458,district,Urban,Male,163235
459,district,Rural,Male,363411
459,district,Urban,Male,80426
460,district,Rural,Male,426583
460,district,Urban,Male,113438
461,district,Rural,Male,272030
461,district,Urban,Male,107084
462,district,Rural,Male,527378
462,district,Urban,Male,48534
463,district,Rural,Male,493324
463,district,Urban,Male,120313
464,district,Rural,Male,467468
464,district,Urban,Male,47555
465,district,Rural,Male,333593
465,district,Urban,Male,28949
466,district,Rural,Male,541183
466,district,Urban,Male,133146
467,district,Rural,Male,254978
467,district,Urban,Male,133526
24,state,Rural,Male,17799159
24,state,Urban,Male,13692101
468,district,Rural,Male,713524
468,district,Urban,Male,383213
469,district,Rural,Male,1393741
469,district,Urban,Male,216638
470,district,Rural,Male,548324
