,,State,District,Level,Name,TRU,Total,sex,literacy type
Level,185,5,57,DISTRICT,Chamoli,Urban,28524,Male,Literate
Level,187,5,58,DISTRICT,Rudraprayag,Rural,86853,Male,Literate
Level,188,5,58,DISTRICT,Rudraprayag,Urban,4950,Male,Literate
Level,190,5,59,DISTRICT,Tehri Garhwal,Rural,195356,Male,Literate
Level,191,5,59,DISTRICT,Tehri Garhwal,Urban,32050,Male,Literate
Level,193,5,60,DISTRICT,Dehradun,Rural,292382,Male,Literate
Level,194,5,60,DISTRICT,Dehradun,Urban,409834,Male,Literate
Level,196,5,61,DISTRICT,Garhwal,Rural,213355,Male,Literate
Level,197,5,61,DISTRICT,Garhwal,Urban,48793,Male,Literate
Level,199,5,62,DISTRICT,Pithoragarh,Rural,159729,Male,Literate
Level,200,5,62,DISTRICT,Pithoragarh,Urban,29894,Male,Literate
Level,202,5,63,DISTRICT,Bageshwar,Rural,93588,Male,Literate
Level,203,5,63,DISTRICT,Bageshwar,Urban,3958,Male,Literate
Level,205,5,64,DISTRICT,Almora,Rural,201819,Male,Literate
Level,206,5,64,DISTRICT,Almora,Urban,29785,Male,Literate
Level,208,5,65,DISTRICT,Champawat,Rural,86379,Male,Literate
Level,209,5,65,DISTRICT,Champawat,Urban,15636,Male,Literate
Level,211,5,66,DISTRICT,Nainital,Rural,234254,Male,Literate
Level,212,5,66,DISTRICT,Nainital,Urban,151525,Male,Literate
Level,214,5,67,DISTRICT,Udham Singh Nagar,Rural,379437,Male,Literate
Level,215,5,67,DISTRICT,Udham Singh Nagar,Urban,219088,Male,Literate
Level,217,5,68,DISTRICT,Hardwar,Rural,409053,Male,Literate
Level,218,5,68,DISTRICT,Hardwar,Urban,282358,Male,Literate
Level,220,6,0,STATE,HARYANA,Rural,6140099,Male,Literate
Level,221,6,0,STATE,HARYANA,Urban,3653968,Male,Literate
Level,223,6,69,DISTRICT,Panchkula,Rural,95926,Male,Literate
Level,224,6,69,DISTRICT,Panchkula,Urban,133936,Male,Literate
Level,226,6,70,DISTRICT,Ambala,Rural,244282,Male,Literate
Level,227,6,70,DISTRICT,Ambala,Urban,217006,Male,Literate
Level,229,6,71,DISTRICT,Yamunanagar,Rural,276833,Male,Literate
Level,230,6,71,DISTRICT,Yamunanagar,Urban,197960,Male,Literate
Level,232,6,72,DISTRICT,Kurukshetra,Rural,253287,Male,Literate
Level,233,6,72,DISTRICT,Kurukshetra,Urban,117541,Male,Literate
Level,235,6,73,DISTRICT,Kaithal,Rural,293066,Male,Literate
Level,236,6,73,DISTRICT,Kaithal,Urban,92716,Male,Literate
Level,238,6,74,DISTRICT,Karnal,Rural,380886,Male,Literate
Level,239,6,74,DISTRICT,Karnal,Urban,183630,Male,Literate
Level,241,6,75,DISTRICT,Panipat,Rural,243714,Male,Literate
Level,242,6,75,DISTRICT,Panipat,Urban,220422,Male,Literate
Level,244,6,76,DISTRICT,Sonipat,Rural,400112,Male,Literate
Level,245,6,76,DISTRICT,Sonipat,Urban,189769,Male,Literate
Level,247,6,77,DISTRICT,Jind,Rural,377967,Male,Literate
Level,248,6,77,DISTRICT,Jind,Urban,124082,Male,Literate
Level,250,6,78,DISTRICT,Fatehabad,Rural,258814,Male,Literate
Level,251,6,78,DISTRICT,Fatehabad,Urban,68657,Male,Literate
Level,253,6,79,DISTRICT,Sirsa,Rural,331990,Male,Literate
Level,254,6,79,DISTRICT,Sirsa,Urban,124978,Male,Literate
Level,256,6,80,DISTRICT,Hisar,Rural,439026,Male,Literate
Level,257,6,80,DISTRICT,Hisar,Urban,231174,Male,Literate
Level,259,6,81,DISTRICT,Bhiwani,Rural,511763,Male,Literate
Level,260,6,81,DISTRICT,Bhiwani,Urban,131395,Male,Literate
Level,262,6,82,DISTRICT,Rohtak,Rural,248850,Male,Literate
Level,263,6,82,DISTRICT,Rohtak,Urban,187175,Male,Literate
Level,265,6,83,DISTRICT,Jhajjar,Rural,296833,Male,Literate
Level,266,6,83,DISTRICT,Jhajjar,Urban,102647,Male,Literate
Level,268,6,84,DISTRICT,Mahendragarh,Rural,324741,Male,Literate
Level,269,6,84,DISTRICT,Mahendragarh,Urban,55699,Male,Literate
Level,271,6,85,DISTRICT,Rewari,Rural,276558,Male,Literate
Level,272,6,85,DISTRICT,Rewari,Urban,98895,Male,Literate
Level,274,6,86,DISTRICT,Gurgaon,Rural,192288,Male,Literate
Level,275,6,86,DISTRICT,Gurgaon,Urban,446378,Male,Literate
Level,277,6,87,DISTRICT,Mewat,Rural,266086,Male,Literate
Level,278,6,87,DISTRICT,Mewat,Urban,42349,Male,Literate
Level,280,6,88,DISTRICT,Faridabad,Rural,139717,Male,Literate
Level,281,6,88,DISTRICT,Faridabad,Urban,595223,Male,Literate
Level,283,6,89,DISTRICT,Palwal,Rural,287360,Male,Literate
Level,284,6,89,DISTRICT,Palwal,Urban,92336,Male,Literate
Level,286,7,0,STATE,NCT OF DELHI,Rural,174327,Male,Literate
Level,287,7,0,STATE,NCT OF DELHI,Urban,7020529,Male,Literate
