,,State,District,Level,Name,TRU,Total,sex
Level,265,6,83,DISTRICT,Jhajjar,Rural,384219,Male
Level,266,6,83,DISTRICT,Jhajjar,Urban,130448,Male
Level,268,6,84,DISTRICT,Mahendragarh,Rural,416358,Male
Level,269,6,84,DISTRICT,Mahendragarh,Urban,70307,Male
Level,271,6,85,DISTRICT,Rewari,Rural,349710,Male
Level,272,6,85,DISTRICT,Rewari,Urban,124625,Male
Level,274,6,86,DISTRICT,Gurgaon,Rural,251462,Male
Level,275,6,86,DISTRICT,Gurgaon,Urban,565228,Male
Level,277,6,87,DISTRICT,Mewat,Rural,506086,Male
Level,278,6,87,DISTRICT,Mewat,Urban,65076,Male
Level,280,6,88,DISTRICT,Faridabad,Rural,198103,Male
Level,281,6,88,DISTRICT,Faridabad,Urban,768007,Male
Level,283,6,89,DISTRICT,Palwal,Rural,428907,Male
Level,284,6,89,DISTRICT,Palwal,Urban,125590,Male
Level,286,7,0,STATE,NCT OF DELHI,Rural,226321,Male
Level,287,7,0,STATE,NCT OF DELHI,Urban,8761005,Male
Level,289,7,90,DISTRICT,North West,Rural,115680,Male
Level,290,7,90,DISTRICT,North West,Urban,1845242,Male
Level,292,7,91,DISTRICT,North,Rural,9546,Male
Level,293,7,91,DISTRICT,North,Urban,465456,Male
Level,295,7,92,DISTRICT,North East,Rural,11718,Male
Level,296,7,92,DISTRICT,North East,Urban,1176707,Male
Level,298,7,93,DISTRICT,East,Rural,1861,Male
Level,299,7,93,DISTRICT,East,Urban,905639,Male
Level,301,7,94,DISTRICT,New Delhi,Rural,0,Male
Level,302,7,94,DISTRICT,New Delhi,Urban,77942,Male
Level,304,7,95,DISTRICT,Central,Rural,0,Male
Level,305,7,95,DISTRICT,Central,Urban,307821,Male
Level,307,7,96,DISTRICT,West,Rural,3355,Male
Level,308,7,96,DISTRICT,West,Urban,1352885,Male
Level,310,7,97,DISTRICT,South West,Rural,77342,Male
Level,311,7,97,DISTRICT,South West,Urban,1168704,Male
Level,313,7,98,DISTRICT,South,Rural,6819,Male
Level,314,7,98,DISTRICT,South,Urban,1460609,Male
Level,316,8,0,STATE,RAJASTHAN,Rural,26641747,Male
