,,State,District,Level,Name,TRU,Total,sex
Level,1273,22,403,DISTRICT,Raigarh,Rural,623817,Male
Level,1274,22,403,DISTRICT,Raigarh,Urban,126461,Male
Level,1276,22,404,DISTRICT,Korba,Rural,381424,Male
Level,1277,22,404,DISTRICT,Korba,Urban,231491,Male
Level,1279,22,405,DISTRICT,Janjgir - Champa,Rural,701401,Male
Level,1280,22,405,DISTRICT,Janjgir - Champa,Urban,114316,Male
Level,1282,22,406,DISTRICT,Bilaspur,Rural,1002520,Male
Level,1283,22,406,DISTRICT,Bilaspur,Urban,349054,Male
Level,1285,22,407,DISTRICT,Kabeerdham,Rural,367941,Male
Level,1286,22,407,DISTRICT,Kabeerdham,Urban,44117,Male
Level,1288,22,408,DISTRICT,Rajnandgaon,Rural,626212,Male
Level,1289,22,408,DISTRICT,Rajnandgaon,Urban,136643,Male
Level,1291,22,409,DISTRICT,Durg,Rural,1026152,Male
Level,1292,22,409,DISTRICT,Durg,Urban,655949,Male
Level,1294,22,410,DISTRICT,Raipur,Rural,1288567,Male
Level,1295,22,410,DISTRICT,Raipur,Urban,759619,Male
Level,1297,22,411,DISTRICT,Mahasamund,Rural,451691,Male
Level,1298,22,411,DISTRICT,Mahasamund,Urban,60276,Male
Level,1300,22,412,DISTRICT,Dhamtari,Rural,323420,Male
Level,1301,22,412,DISTRICT,Dhamtari,Urban,74477,Male
Level,1303,22,413,DISTRICT,Uttar Bastar Kanker,Rural,335149,Male
Level,1304,22,413,DISTRICT,Uttar Bastar Kanker,Urban,38189,Male
Level,1306,22,414,DISTRICT,Bastar,Rural,600652,Male
Level,1307,22,414,DISTRICT,Bastar,Urban,97835,Male
Level,1309,22,415,DISTRICT,Narayanpur,Rural,58653,Male
Level,1310,22,415,DISTRICT,Narayanpur,Urban,11451,Male
Level,1312,22,416,DISTRICT,Dakshin Bastar Dantewada,Rural,213930,Male
Level,1313,22,416,DISTRICT,Dakshin Bastar Dantewada,Urban,50212,Male
Level,1315,22,417,DISTRICT,Bijapur,Rural,113344,Male
Level,1316,22,417,DISTRICT,Bijapur,Urban,15319,Male
Level,1318,23,0,STATE,MADHYA PRADESH,Rural,27149388,Male
Level,1319,23,0,STATE,MADHYA PRADESH,Urban,10462918,Male
Level,1321,23,418,DISTRICT,Sheopur,Rural,305360,Male
Level,1322,23,418,DISTRICT,Sheopur,Urban,56424,Male
Level,1324,23,419,DISTRICT,Morena,Rural,815218,Male
Level,1325,23,419,DISTRICT,Morena,Urban,253199,Male
Level,1327,23,420,DISTRICT,Bhind,Rural,694756,Male
Level,1328,23,420,DISTRICT,Bhind,Urban,232087,Male
Level,1330,23,421,DISTRICT,Gwalior,Rural,409349,Male
Level,1331,23,421,DISTRICT,Gwalior,Urban,680978,Male
Level,1333,23,422,DISTRICT,Datia,Rural,323966,Male
Level,1334,23,422,DISTRICT,Datia,Urban,96191,Male
Level,1336,23,423,DISTRICT,Shivpuri,Rural,763554,Male
Level,1337,23,423,DISTRICT,Shivpuri,Urban,156241,Male
Level,1339,23,424,DISTRICT,Tikamgarh,Rural,629477,Male
Level,1340,23,424,DISTRICT,Tikamgarh,Urban,130878,Male
Level,1342,23,425,DISTRICT,Chhatarpur,Rural,725273,Male
Level,1343,23,425,DISTRICT,Chhatarpur,Urban,210848,Male
Level,1345,23,426,DISTRICT,Panna,Rural,467473,Male
Level,1346,23,426,DISTRICT,Panna,Urban,66007,Male
Level,1348,23,427,DISTRICT,Sagar,Rural,884133,Male
Level,1349,23,427,DISTRICT,Sagar,Urban,372124,Male
Level,1351,23,428,DISTRICT,Damoh,Rural,530471,Male
Level,1352,23,428,DISTRICT,Damoh,Urban,131402,Male
Level,1354,23,429,DISTRICT,Satna,Rural,907904,Male
Level,1355,23,429,DISTRICT,Satna,Urban,249591,Male
Level,1357,23,430,DISTRICT,Rewa,Rural,1017839,Male
Level,1358,23,430,DISTRICT,Rewa,Urban,207261,Male
Level,1360,23,431,DISTRICT,Umaria,Rural,273064,Male
Level,1361,23,431,DISTRICT,Umaria,Urban,57610,Male
Level,1363,23,432,DISTRICT,Neemuch,Rural,295013,Male
Level,1364,23,432,DISTRICT,Neemuch,Urban,127640,Male
Level,1366,23,433,DISTRICT,Mandsaur,Rural,540987,Male
Level,1367,23,433,DISTRICT,Mandsaur,Urban,141864,Male
Level,1369,23,434,DISTRICT,Ratlam,Rural,516468,Male
Level,1370,23,434,DISTRICT,Ratlam,Urban,221773,Male
Level,1372,23,435,DISTRICT,Ujjain,Rural,616353,Male
Level,1373,23,435,DISTRICT,Ujjain,Urban,399936,Male
Level,1375,23,436,DISTRICT,Shajapur,Rural,629273,Male
Level,1376,23,436,DISTRICT,Shajapur,Urban,151247,Male
Level,1378,23,437,DISTRICT,Dewas,Rural,571720,Male
Level,1379,23,437,DISTRICT,Dewas,Urban,233639,Male
Level,1381,23,438,DISTRICT,Dhar,Rural,895113,Male
Level,1382,23,438,DISTRICT,Dhar,Urban,217612,Male
Level,1384,23,439,DISTRICT,Indore,Rural,436755,Male
Level,1385,23,439,DISTRICT,Indore,Urban,1262872,Male
Level,1387,23,440,DISTRICT,Khargone (West Nimar),Rural,799396,Male
Level,1388,23,440,DISTRICT,Khargone (West Nimar),Urban,153725,Male
Level,1390,23,441,DISTRICT,Barwani,Rural,594907,Male
Level,1391,23,441,DISTRICT,Barwani,Urban,104433,Male
Level,1393,23,442,DISTRICT,Rajgarh,Rural,648407,Male
Level,1394,23,442,DISTRICT,Rajgarh,Urban,141805,Male
Level,1396,23,443,DISTRICT,Vidisha,Rural,591962,Male
Level,1397,23,443,DISTRICT,Vidisha,Urban,177606,Male
Level,1399,23,444,DISTRICT,Bhopal,Rural,238025,Male
Level,1400,23,444,DISTRICT,Bhopal,Urban,998105,Male
Level,1402,23,445,DISTRICT,Sehore,Rural,554636,Male
Level,1403,23,445,DISTRICT,Sehore,Urban,129107,Male
Level,1405,23,446,DISTRICT,Raisen,Rural,539960,Male
Level,1406,23,446,DISTRICT,Raisen,Urban,160398,Male
Level,1408,23,447,DISTRICT,Betul,Rural,640358,Male
Level,1409,23,447,DISTRICT,Betul,Urban,158878,Male
Level,1411,23,448,DISTRICT,Harda,Rural,233312,Male
Level,1412,23,448,DISTRICT,Harda,Urban,61526,Male
Level,1414,23,449,DISTRICT,Hoshangabad,Rural,445062,Male
Level,1415,23,449,DISTRICT,Hoshangabad,Urban,203663,Male
Level,1417,23,450,DISTRICT,Katni,Rural,525188,Male
Level,1418,23,450,DISTRICT,Katni,Urban,136825,Male
Level,1420,23,451,DISTRICT,Jabalpur,Rural,527031,Male
Level,1421,23,451,DISTRICT,Jabalpur,Urban,750247,Male
Level,1423,23,452,DISTRICT,Narsimhapur,Rural,462699,Male
Level,1424,23,452,DISTRICT,Narsimhapur,Urban,106111,Male
Level,1426,23,453,DISTRICT,Dindori,Rural,335393,Male
Level,1427,23,453,DISTRICT,Dindori,Urban,16520,Male
Level,1429,23,454,DISTRICT,Mandla,Rural,459151,Male
Level,1430,23,454,DISTRICT,Mandla,Urban,66121,Male
Level,1432,23,455,DISTRICT,Chhindwara,Rural,806199,Male
Level,1433,23,455,DISTRICT,Chhindwara,Urban,258269,Male
Level,1435,23,456,DISTRICT,Seoni,Rural,612314,Male
Level,1436,23,456,DISTRICT,Seoni,Urban,83565,Male
Level,1438,23,457,DISTRICT,Balaghat,Rural,719794,Male
Level,1439,23,457,DISTRICT,Balaghat,Urban,122384,Male
Level,1441,23,458,DISTRICT,Guna,Rural,486127,Male
Level,1442,23,458,DISTRICT,Guna,Urban,163235,Male
Level,1444,23,459,DISTRICT,Ashoknagar,Rural,363411,Male
Level,1445,23,459,DISTRICT,Ashoknagar,Urban,80426,Male
Level,1447,23,460,DISTRICT,Shahdol,Rural,426583,Male
Level,1448,23,460,DISTRICT,Shahdol,Urban,113438,Male
Level,1450,23,461,DISTRICT,Anuppur,Rural,272030,Male
Level,1451,23,461,DISTRICT,Anuppur,Urban,107084,Male
Level,1453,23,462,DISTRICT,Sidhi,Rural,527378,Male
Level,1454,23,462,DISTRICT,Sidhi,Urban,48534,Male
Level,1456,23,463,DISTRICT,Singrauli,Rural,493324,Male
Level,1457,23,463,DISTRICT,Singrauli,Urban,120313,Male
Level,1459,23,464,DISTRICT,Jhabua,Rural,467468,Male
Level,1460,23,464,DISTRICT,Jhabua,Urban,47555,Male
Level,1462,23,465,DISTRICT,Alirajpur,Rural,333593,Male
Level,1463,23,465,DISTRICT,Alirajpur,Urban,28949,Male
Level,1465,23,466,DISTRICT,Khandwa (East Nimar),Rural,541183,Male
Level,1466,23,466,DISTRICT,Khandwa (East Nimar),Urban,133146,Male
Level,1468,23,467,DISTRICT,Burhanpur,Rural,254978,Male
Level,1469,23,467,DISTRICT,Burhanpur,Urban,133526,Male
Level,1471,24,0,STATE,GUJARAT,Rural,17799159,Male
Level,1472,24,0,STATE,GUJARAT,Urban,13692101,Male
Level,1474,24,468,DISTRICT,Kachchh,Rural,713524,Male
Level,1475,24,468,DISTRICT,Kachchh,Urban,383213,Male
Level,1477,24,469,DISTRICT,Banas Kantha,Rural,1393741,Male
Level,1478,24,469,DISTRICT,Banas Kantha,Urban,216638,Male
Level,1480,24,470,DISTRICT,Patan,Rural,548324,Male
Level,1481,24,470,DISTRICT,Patan,Urban,146073,Male
Level,1483,24,471,DISTRICT,Mahesana,Rural,787175,Male
Level,1484,24,471,DISTRICT,Mahesana,Urban,269345,Male
Level,1486,24,472,DISTRICT,Sabar Kantha,Rural,1056141,Male
Level,1487,24,472,DISTRICT,Sabar Kantha,Urban,188090,Male
Level,1489,24,473,DISTRICT,Gandhinagar,Rural,408436,Male
Level,1490,24,473,DISTRICT,Gandhinagar,Urban,315428,Male
Level,1492,24,474,DISTRICT,Ahmadabad,Rural,595583,Male
Level,1493,24,474,DISTRICT,Ahmadabad,Urban,3192468,Male
Level,1495,24,475,DISTRICT,Surendranagar,Rural,649475,Male
Level,1496,24,475,DISTRICT,Surendranagar,Urban,260442,Male
Level,1498,24,476,DISTRICT,Rajkot,Rural,816264,Male
Level,1499,24,476,DISTRICT,Rajkot,Urban,1158181,Male
Level,1501,24,477,DISTRICT,Jamnagar,Rural,610088,Male
Level,1502,24,477,DISTRICT,Jamnagar,Urban,504104,Male
Level,1504,24,478,DISTRICT,Porbandar,Rural,153260,Male
Level,1505,24,478,DISTRICT,Porbandar,Urban,146949,Male
Level,1507,24,479,DISTRICT,Junagadh,Rural,940271,Male
Level,1508,24,479,DISTRICT,Junagadh,Urban,464085,Male
Level,1510,24,480,DISTRICT,Amreli,Rural,572554,Male
Level,1511,24,480,DISTRICT,Amreli,Urban,198495,Male
Level,1513,24,481,DISTRICT,Bhavnagar,Rural,868833,Male
Level,1514,24,481,DISTRICT,Bhavnagar,Urban,621368,Male
Level,1516,24,482,DISTRICT,Anand,Rural,758499,Male
Level,1517,24,482,DISTRICT,Anand,Urban,328725,Male
Level,1519,24,483,DISTRICT,Kheda,Rural,915197,Male
Level,1520,24,483,DISTRICT,Kheda,Urban,270530,Male
Level,1522,24,484,DISTRICT,Panch Mahals,Rural,1053376,Male
Level,1523,24,484,DISTRICT,Panch Mahals,Urban,173585,Male
Level,1525,24,485,DISTRICT,Dohad,Rural,970963,Male
Level,1526,24,485,DISTRICT,Dohad,Urban,97688,Male
Level,1528,24,486,DISTRICT,Vadodara,Rural,1077943,Male
Level,1529,24,486,DISTRICT,Vadodara,Urban,1075793,Male
Level,1531,24,487,DISTRICT,Narmada,Rural,269408,Male
Level,1532,24,487,DISTRICT,Narmada,Urban,31678,Male
Level,1534,24,488,DISTRICT,Bharuch,Rural,529393,Male
Level,1535,24,488,DISTRICT,Bharuch,Urban,276314,Male
Level,1537,24,489,DISTRICT,The Dangs,Rural,101710,Male
Level,1538,24,489,DISTRICT,The Dangs,Urban,12111,Male
Level,1540,24,490,DISTRICT,Navsari,Rural,464749,Male
Level,1541,24,490,DISTRICT,Navsari,Urban,213416,Male
Level,1543,24,491,DISTRICT,Valsad,Rural,542644,Male
Level,1544,24,491,DISTRICT,Valsad,Urban,344578,Male
Level,1546,24,492,DISTRICT,Surat,Rural,640060,Male
Level,1547,24,492,DISTRICT,Surat,Urban,2762164,Male
Level,1549,24,493,DISTRICT,Tapi,Rural,361548,Male
Level,1550,24,493,DISTRICT,Tapi,Urban,40640,Male
Level,1552,25,0,STATE,DAMAN & DIU,Rural,32395,Male
Level,1553,25,0,STATE,DAMAN & DIU,Urban,117906,Male
Level,1555,25,494,DISTRICT,Diu,Rural,14028,Male
Level,1556,25,494,DISTRICT,Diu,Urban,11614,Male
Level,1558,25,495,DISTRICT,Daman,Rural,18367,Male
Level,1559,25,495,DISTRICT,Daman,Urban,106292,Male
Level,1561,26,0,STATE,DADRA & NAGAR HAVELI,Rural,98305,Male
Level,1562,26,0,STATE,DADRA & NAGAR HAVELI,Urban,95455,Male
Level,1564,26,496,DISTRICT,Dadra & Nagar Haveli,Rural,98305,Male
Level,1565,26,496,DISTRICT,Dadra & Nagar Haveli,Urban,95455,Male
Level,1567,27,0,STATE,MAHARASHTRA,Rural,31539034,Male
Level,1568,27,0,STATE,MAHARASHTRA,Urban,26704022,Male
Level,1570,27,497,DISTRICT,Nandurbar,Rural,687671,Male
Level,1571,27,497,DISTRICT,Nandurbar,Urban,145499,Male
Level,1573,27,498,DISTRICT,Dhule,Rural,758916,Male
Level,1574,27,498,DISTRICT,Dhule,Urban,295115,Male
Level,1576,27,499,DISTRICT,Jalgaon,Rural,1500514,Male
Level,1577,27,499,DISTRICT,Jalgaon,Urban,696851,Male
Level,1579,27,500,DISTRICT,Buldana,Rural,1055242,Male
Level,1580,27,500,DISTRICT,Buldana,Urban,282318,Male
Level,1582,27,501,DISTRICT,Akola,Rural,563933,Male
Level,1583,27,501,DISTRICT,Akola,Urban,368401,Male
Level,1585,27,502,DISTRICT,Washim,Rural,511727,Male
Level,1586,27,502,DISTRICT,Washim,Urban,108575,Male
Level,1588,27,503,DISTRICT,Amravati,Rural,950633,Male
Level,1589,27,503,DISTRICT,Amravati,Urban,530135,Male
Level,1591,27,504,DISTRICT,Wardha,Rural,451874,Male
Level,1592,27,504,DISTRICT,Wardha,Urban,216511,Male
Level,1594,27,505,DISTRICT,Nagpur,Rural,758357,Male
Level,1595,27,505,DISTRICT,Nagpur,Urban,1626618,Male
Level,1597,27,506,DISTRICT,Bhandara,Rural,487484,Male
Level,1598,27,506,DISTRICT,Bhandara,Urban,118036,Male
Level,1600,27,507,DISTRICT,Gondiya,Rural,547934,Male
Level,1601,27,507,DISTRICT,Gondiya,Urban,113620,Male
Level,1603,27,508,DISTRICT,Gadchiroli,Rural,481290,Male
Level,1604,27,508,DISTRICT,Gadchiroli,Urban,60038,Male
Level,1606,27,509,DISTRICT,Chandrapur,Rural,726106,Male
Level,1607,27,509,DISTRICT,Chandrapur,Urban,397728,Male
Level,1609,27,510,DISTRICT,Yavatmal,Rural,1115148,Male
Level,1610,27,510,DISTRICT,Yavatmal,Urban,304817,Male
Level,1612,27,511,DISTRICT,Nanded,Rural,1258160,Male
Level,1613,27,511,DISTRICT,Nanded,Urban,471915,Male
Level,1615,27,512,DISTRICT,Hingoli,Rural,514430,Male
Level,1616,27,512,DISTRICT,Hingoli,Urban,91864,Male
Level,1618,27,513,DISTRICT,Parbhani,Rural,651886,Male
Level,1619,27,513,DISTRICT,Parbhani,Urban,290984,Male
Level,1621,27,514,DISTRICT,Jalna,Rural,817279,Male
Level,1622,27,514,DISTRICT,Jalna,Urban,194194,Male
Level,1624,27,515,DISTRICT,Aurangabad,Rural,1081825,Male
Level,1625,27,515,DISTRICT,Aurangabad,Urban,842644,Male
Level,1627,27,516,DISTRICT,Nashik,Rural,1804712,Male
Level,1628,27,516,DISTRICT,Nashik,Urban,1352474,Male
Level,1630,27,517,DISTRICT,Thane,Rural,1300136,Male
Level,1631,27,517,DISTRICT,Thane,Urban,4564942,Male
Level,1633,27,518,DISTRICT,Mumbai Suburban,Rural,0,Male
Level,1634,27,518,DISTRICT,Mumbai Suburban,Urban,5031323,Male
Level,1636,27,519,DISTRICT,Mumbai,Rural,0,Male
Level,1637,27,519,DISTRICT,Mumbai,Urban,1684608,Male
Level,1639,27,520,DISTRICT,Raigarh,Rural,836996,Male
Level,1640,27,520,DISTRICT,Raigarh,Urban,507349,Male
Level,1642,27,521,DISTRICT,Pune,Rural,1903440,Male
Level,1643,27,521,DISTRICT,Pune,Urban,3020665,Male
Level,1645,27,522,DISTRICT,Ahmadnagar,Rural,1872907,Male
Level,1646,27,522,DISTRICT,Ahmadnagar,Urban,469918,Male
Level,1648,27,523,DISTRICT,Bid,Rural,1082978,Male
Level,1649,27,523,DISTRICT,Bid,Urban,266128,Male
Level,1651,27,524,DISTRICT,Latur,Rural,949707,Male
Level,1652,27,524,DISTRICT,Latur,Urban,323433,Male
Level,1654,27,525,DISTRICT,Osmanabad,Rural,716237,Male
Level,1655,27,525,DISTRICT,Osmanabad,Urban,145298,Male
Level,1657,27,526,DISTRICT,Solapur,Rural,1518343,Male
Level,1658,27,526,DISTRICT,Solapur,Urban,709509,Male
Level,1660,27,527,DISTRICT,Satara,Rural,1219749,Male
Level,1661,27,527,DISTRICT,Satara,Urban,291093,Male
Level,1663,27,528,DISTRICT,Ratnagiri,Rural,630213,Male
Level,1664,27,528,DISTRICT,Ratnagiri,Urban,130908,Male
Level,1666,27,529,DISTRICT,Sindhudurg,Rural,363268,Male
Level,1667,27,529,DISTRICT,Sindhudurg,Urban,54064,Male
Level,1669,27,530,DISTRICT,Kolhapur,Rural,1348815,Male
Level,1670,27,530,DISTRICT,Kolhapur,Urban,631843,Male
Level,1672,27,531,DISTRICT,Sangli,Rural,1071124,Male
Level,1673,27,531,DISTRICT,Sangli,Urban,364604,Male
Level,1675,28,0,STATE,ANDHRA PRADESH,Rural,28243241,Male
Level,1676,28,0,STATE,ANDHRA PRADESH,Urban,14198905,Male
Level,1678,28,532,DISTRICT,Adilabad,Rural,985303,Male
Level,1679,28,532,DISTRICT,Adilabad,Urban,384294,Male
Level,1681,28,533,DISTRICT,Nizamabad,Rural,958837,Male
Level,1682,28,533,DISTRICT,Nizamabad,Urban,291804,Male
Level,1684,28,534,DISTRICT,Karimnagar,Rural,1401950,Male
Level,1685,28,534,DISTRICT,Karimnagar,Urban,478850,Male
Level,1687,28,535,DISTRICT,Medak,Rural,1152806,Male
Level,1688,28,535,DISTRICT,Medak,Urban,370224,Male
Level,1690,28,536,DISTRICT,Hyderabad,Rural,0,Male
Level,1691,28,536,DISTRICT,Hyderabad,Urban,2018575,Male
Level,1693,28,537,DISTRICT,Rangareddy,Rural,801013,Male
Level,1694,28,537,DISTRICT,Rangareddy,Urban,1899995,Male
Level,1696,28,538,DISTRICT,Mahbubnagar,Rural,1742438,Male
Level,1697,28,538,DISTRICT,Mahbubnagar,Urban,307948,Male
Level,1699,28,539,DISTRICT,Nalgonda,Rural,1427716,Male
Level,1700,28,539,DISTRICT,Nalgonda,Urban,332056,Male
Level,1702,28,540,DISTRICT,Warangal,Rural,1260594,Male
Level,1703,28,540,DISTRICT,Warangal,Urban,498687,Male
Level,1705,28,541,DISTRICT,Khammam,Rural,1066781,Male
Level,1706,28,541,DISTRICT,Khammam,Urban,324207,Male
Level,1708,28,542,DISTRICT,Srikakulam,Rural,1126888,Male
Level,1709,28,542,DISTRICT,Srikakulam,Urban,214850,Male
Level,1711,28,543,DISTRICT,Vizianagaram,Rural,920428,Male
Level,1712,28,543,DISTRICT,Vizianagaram,Urban,241049,Male
Level,1714,28,544,DISTRICT,Visakhapatnam,Rural,1113234,Male
Level,1715,28,544,DISTRICT,Visakhapatnam,Urban,1025676,Male
Level,1717,28,545,DISTRICT,East Godavari,Rural,1922293,Male
Level,1718,28,545,DISTRICT,East Godavari,Urban,647395,Male
Level,1720,28,546,DISTRICT,West Godavari,Rural,1567013,Male
Level,1721,28,546,DISTRICT,West Godavari,Urban,397905,Male
Level,1723,28,547,DISTRICT,Krishna,Rural,1343534,Male
Level,1724,28,547,DISTRICT,Krishna,Urban,923841,Male
Level,1726,28,548,DISTRICT,Guntur,Rural,1621491,Male
Level,1727,28,548,DISTRICT,Guntur,Urban,819030,Male
Level,1729,28,549,DISTRICT,Prakasam,Rural,1382641,Male
Level,1730,28,549,DISTRICT,Prakasam,Urban,332123,Male
Level,1732,28,550,DISTRICT,Sri Potti Sriramulu Nellore,Rural,1060810,Male
Level,1733,28,550,DISTRICT,Sri Potti Sriramulu Nellore,Urban,432164,Male
Level,1735,28,551,DISTRICT,Y.S.R.,Rural,959693,Male
Level,1736,28,551,DISTRICT,Y.S.R.,Urban,492084,Male
Level,1738,28,552,DISTRICT,Kurnool,Rural,1464569,Male
Level,1739,28,552,DISTRICT,Kurnool,Urban,574658,Male
Level,1741,28,553,DISTRICT,Anantapur,Rural,1489157,Male
Level,1742,28,553,DISTRICT,Anantapur,Urban,575338,Male
Level,1744,28,554,DISTRICT,Chittoor,Rural,1474052,Male
Level,1745,28,554,DISTRICT,Chittoor,Urban,616152,Male
Level,1747,29,0,STATE,KARNATAKA,Rural,18929354,Male
Level,1748,29,0,STATE,KARNATAKA,Urban,12037303,Male
Level,1750,29,555,DISTRICT,Belgaum,Rural,1811094,Male
Level,1751,29,555,DISTRICT,Belgaum,Urban,611969,Male
Level,1753,29,556,DISTRICT,Bagalkot,Rural,650267,Male
Level,1754,29,556,DISTRICT,Bagalkot,Urban,299844,Male
Level,1756,29,557,DISTRICT,Bijapur,Rural,857562,Male
Level,1757,29,557,DISTRICT,Bijapur,Urban,253460,Male
Level,1759,29,558,DISTRICT,Bidar,Rural,651250,Male
Level,1760,29,558,DISTRICT,Bidar,Urban,219415,Male
Level,1762,29,559,DISTRICT,Raichur,Rural,717972,Male
Level,1763,29,559,DISTRICT,Raichur,Urban,246539,Male
Level,1765,29,560,DISTRICT,Koppal,Rural,582958,Male
Level,1766,29,560,DISTRICT,Koppal,Urban,116968,Male
Level,1768,29,561,DISTRICT,Gadag,Rural,347585,Male
Level,1769,29,561,DISTRICT,Gadag,Urban,189562,Male
Level,1771,29,562,DISTRICT,Dharwad,Rural,409416,Male
Level,1772,29,562,DISTRICT,Dharwad,Urban,527790,Male
Level,1774,29,563,DISTRICT,Uttara Kannada,Rural,514910,Male
Level,1775,29,563,DISTRICT,Uttara Kannada,Urban,211346,Male
Level,1777,29,564,DISTRICT,Haveri,Rural,638450,Male
Level,1778,29,564,DISTRICT,Haveri,Urban,180678,Male
Level,1780,29,565,DISTRICT,Bellary,Rural,774093,Male
Level,1781,29,565,DISTRICT,Bellary,Urban,462861,Male
Level,1783,29,566,DISTRICT,Chitradurga,Rural,675573,Male
Level,1784,29,566,DISTRICT,Chitradurga,Urban,165270,Male
Level,1786,29,567,DISTRICT,Davanagere,Rural,668267,Male
Level,1787,29,567,DISTRICT,Davanagere,Urban,318133,Male
Level,1789,29,568,DISTRICT,Shimoga,Rural,565821,Male
Level,1790,29,568,DISTRICT,Shimoga,Urban,311594,Male
Level,1792,29,569,DISTRICT,Udupi,Rural,398847,Male
Level,1793,29,569,DISTRICT,Udupi,Urban,163284,Male
Level,1795,29,570,DISTRICT,Chikmagalur,Rural,447545,Male
Level,1796,29,570,DISTRICT,Chikmagalur,Urban,119077,Male
Level,1798,29,571,DISTRICT,Tumkur,Rural,1048710,Male
Level,1799,29,571,DISTRICT,Tumkur,Urban,301884,Male
Level,1801,29,572,DISTRICT,Bangalore,Rural,464256,Male
Level,1802,29,572,DISTRICT,Bangalore,Urban,4558405,Male
Level,1804,29,573,DISTRICT,Mandya,Rural,751243,Male
Level,1805,29,573,DISTRICT,Mandya,Urban,153842,Male
Level,1807,29,574,DISTRICT,Hassan,Rural,695583,Male
Level,1808,29,574,DISTRICT,Hassan,Urban,188084,Male
Level,1810,29,575,DISTRICT,Dakshina Kannada,Rural,541484,Male
Level,1811,29,575,DISTRICT,Dakshina Kannada,Urban,493230,Male
Level,1813,29,576,DISTRICT,Kodagu,Rural,234161,Male
Level,1814,29,576,DISTRICT,Kodagu,Urban,40447,Male
Level,1816,29,577,DISTRICT,Mysore,Rural,887500,Male
Level,1817,29,577,DISTRICT,Mysore,Urban,624100,Male
Level,1819,29,578,DISTRICT,Chamarajanagar,Rural,424884,Male
Level,1820,29,578,DISTRICT,Chamarajanagar,Urban,87347,Male
Level,1822,29,579,DISTRICT,Gulbarga,Rural,877144,Male
Level,1823,29,579,DISTRICT,Gulbarga,Urban,424611,Male
Level,1825,29,580,DISTRICT,Yadgir,Rural,479078,Male
Level,1826,29,580,DISTRICT,Yadgir,Urban,111251,Male
Level,1828,29,581,DISTRICT,Kolar,Rural,535431,Male
Level,1829,29,581,DISTRICT,Kolar,Urban,240965,Male
Level,1831,29,582,DISTRICT,Chikkaballapura,Rural,494463,Male
Level,1832,29,582,DISTRICT,Chikkaballapura,Urban,141974,Male
Level,1834,29,583,DISTRICT,Bangalore Rural,Rural,371369,Male
Level,1835,29,583,DISTRICT,Bangalore Rural,Urban,137803,Male
Level,1837,29,584,DISTRICT,Ramanagara,Rural,412438,Male
Level,1838,29,584,DISTRICT,Ramanagara,Urban,135570,Male
Level,1840,30,0,STATE,GOA,Rural,275436,Male
Level,1841,30,0,STATE,GOA,Urban,463704,Male
Level,1843,30,585,DISTRICT,North Goa,Rural,163908,Male
Level,1844,30,585,DISTRICT,North Goa,Urban,252769,Male
Level,1846,30,586,DISTRICT,South Goa,Rural,111528,Male
Level,1847,30,586,DISTRICT,South Goa,Urban,210935,Male
Level,1849,31,0,STATE,LAKSHADWEEP,Rural,7243,Male
Level,1850,31,0,STATE,LAKSHADWEEP,Urban,25880,Male
Level,1852,31,587,DISTRICT,Lakshadweep,Rural,7243,Male
Level,1853,31,587,DISTRICT,Lakshadweep,Urban,25880,Male
Level,1855,32,0,STATE,KERALA,Rural,8408054,Male
Level,1856,32,0,STATE,KERALA,Urban,7619358,Male
Level,1858,32,588,DISTRICT,Kasaragod,Rural,387716,Male
Level,1859,32,588,DISTRICT,Kasaragod,Urban,240897,Male
Level,1861,32,589,DISTRICT,Kannur,Rural,425682,Male
Level,1862,32,589,DISTRICT,Kannur,Urban,755764,Male
Level,1864,32,590,DISTRICT,Wayanad,Rural,386283,Male
Level,1865,32,590,DISTRICT,Wayanad,Urban,15401,Male
Level,1867,32,591,DISTRICT,Kozhikode,Rural,484784,Male
Level,1868,32,591,DISTRICT,Kozhikode,Urban,986158,Male
Level,1870,32,592,DISTRICT,Malappuram,Rural,1095308,Male
Level,1871,32,592,DISTRICT,Malappuram,Urban,865020,Male
Level,1873,32,593,DISTRICT,Palakkad,Rural,1031466,Male
Level,1874,32,593,DISTRICT,Palakkad,Urban,328012,Male
Level,1876,32,594,DISTRICT,Thrissur,Rural,488303,Male
Level,1877,32,594,DISTRICT,Thrissur,Urban,992460,Male
Level,1879,32,595,DISTRICT,Ernakulam,Rural,518510,Male
Level,1880,32,595,DISTRICT,Ernakulam,Urban,1101047,Male
Level,1882,32,596,DISTRICT,Idukki,Rural,527245,Male
Level,1883,32,596,DISTRICT,Idukki,Urban,25563,Male
Level,1885,32,597,DISTRICT,Kottayam,Rural,692673,Male
Level,1886,32,597,DISTRICT,Kottayam,Urban,275616,Male
Level,1888,32,598,DISTRICT,Alappuzha,Rural,464713,Male
Level,1889,32,598,DISTRICT,Alappuzha,Urban,548429,Male
Level,1891,32,599,DISTRICT,Pathanamthitta,Rural,499820,Male
Level,1892,32,599,DISTRICT,Pathanamthitta,Urban,61896,Male
Level,1894,32,600,DISTRICT,Kollam,Rural,680687,Male
Level,1895,32,600,DISTRICT,Kollam,Urban,566281,Male
Level,1897,32,601,DISTRICT,Thiruvananthapuram,Rural,724864,Male
